time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-04T18:00:00Z,1213557.2580040218,15563.377675873951,1059373.960464494,15961.187310500532,-154183.29753952776,397.8096346265811,4.24951021548404e-4
2018-01-04T19:00:00Z,1297301.4702330069,22924.7784165586,1133984.3487681656,22743.028215459693,-163317.1214648413,-181.7502010989083,4.50125134890416e-4
2018-01-04T20:00:00Z,1373503.3772737887,25311.266512761726,1202178.4540972887,25439.112768945623,-171324.92317650001,127.84625618389691,4.7219577141220935e-4
2018-01-04T21:00:00Z,1451865.490945378,40322.29512345714,1277527.0769958848,40320.22473874161,-174338.41394949332,-2.070384715530963,4.805013791067256e-4
2018-01-04T22:00:00Z,1481530.3607223653,46626.24687068554,1306303.340401263,46474.81301720687,-175227.02032110235,-151.43385347867297,4.8295050421557777e-4
2018-01-04T23:00:00Z,1477202.8830148631,43068.734390917154,1305221.723276026,43157.317279817275,-171981.15973883704,88.58288890012045,4.740044523912307e-4
2018-01-05T00:00:00Z,1490166.8981177416,45871.221930319,1313297.1418268648,45647.91615028699,-176869.75629087677,-223.30578003200935,4.874781173852921e-4
2018-01-05T01:00:00Z,1460168.7378759906,44926.90467310413,1287240.1854837204,45089.429873273126,-172928.55239227018,162.52520016899507,4.766156008250009e-4
2018-01-05T02:00:00Z,1408092.165832235,41872.79144845428,1240097.1196836964,41990.21183874927,-167995.0461485386,117.42039029498847,4.630181583552568e-4
2018-01-05T03:00:00Z,1385763.7231062464,45637.26845746426,1215705.60645781,45502.69345095489,-170058.11664843652,-134.57500650937436,4.6870427306708697e-4
2018-01-05T04:00:00Z,1331716.4229623678,38926.11640207813,1161525.0910486819,39020.68861819102,-170191.3319136859,94.57221611289424,4.6907143321969075e-4
2018-01-05T05:00:00Z,1346826.0112010073,32903.884860784165,1170230.7590930695,32872.75514773997,-176595.25210793782,-31.12971304419625,4.867215449496214e-4
2018-01-05T06:00:00Z,1439659.1376636077,35680.196821996804,1244933.994399793,35661.563359557054,-194725.14326381474,-18.633462439749565,5.366900946576475e-4
2018-01-05T07:00:00Z,1466373.844378924,38910.95822826799,1274682.1237175623,38937.28169107973,-191691.7206613617,26.323462811735226,5.283295520160558e-4
2018-01-05T08:00:00Z,1492236.7807618845,45588.31864740427,1310929.2909473819,45510.23556670432,-181307.48981450265,-78.08308069994382,4.997091399689215e-4
2018-01-05T09:00:00Z,1450241.9299001491,48064.86847873288,1278652.5946062594,48212.8270435819,-171589.33529388974,147.95856484901742,4.729245286848039e-4
2018-01-05T10:00:00Z,1373146.8750582624,46841.49293878926,1214843.9963615455,46716.456490433586,-158302.87869671686,-125.03644835567684,4.363051711160655e-4
2018-01-05T11:00:00Z,1344814.41023541,56087.978962962756,1190669.21024333,56191.42425642791,-154145.19999208,103.44529346515628,4.248460193077931e-4
2018-01-05T12:00:00Z,1329845.1017079048,50311.67954894906,1177830.8413565406,50305.17262555739,-152014.26035136427,-6.506923391672899,4.1897284762427804e-4
2018-01-05T13:00:00Z,1323905.4165289165,48537.43379005232,1169158.9817317417,48508.15263478985,-154746.43479717476,-29.281155262469838,4.2650310764805237e-4
2018-01-05T14:00:00Z,1274230.756085873,37105.286987081956,1116663.841269333,37259.30882145503,-157566.9148165402,154.02183437307394,4.342767503487407e-4
2018-01-05T15:00:00Z,1236552.029357897,28185.25626716056,1079842.4355097632,28102.958474718293,-156709.5938481337,-82.29779244226665,4.319138522454243e-4
2018-01-05T16:00:00Z,1214856.8637451227,22828.50552728652,1057667.139878484,22931.063513016466,-157189.72386663873,102.55798572994536,4.3323715862877277e-4
2018-01-05T17:00:00Z,1271421.8819418892,16701.423788613298,1104613.6627019374,16507.69493308883,-166808.2192399518,-193.72885552446678,4.5974709517751023e-4
2018-01-05T18:00:00Z,1338402.9209919958,15883.769710602013,1156635.4852900894,16015.091255415544,-181767.43570190645,131.32154481353064,5.0097681602611e-4
2018-01-05T19:00:00Z,1438809.385744365,17605.072774630273,1247758.5112453795,17434.192093287893,-191050.87449898547,-170.88068134237983,5.265632891607207e-4
2018-01-05T20:00:00Z,1534739.010219104,23303.067281010208,1336110.7606041324,23596.692199058933,-198628.24961497146,293.6249180487248,5.474476089773221e-4
2018-01-05T21:00:00Z,1676442.459500478,34569.731191360785,1465794.0552131212,34267.01136902597,-210648.40428735688,-302.71982233481685,5.80576858959088e-4
2018-01-05T22:00:00Z,1739246.8972230463,43481.776141665105,1521010.2688492364,43699.610190663225,-218236.62837380986,217.83404899812012,6.014910800760004e-4
2018-01-05T23:00:00Z,1761405.7932478078,48860.85745954236,1534011.119991368,48872.6882293454,-227394.67325643986,11.830769803033036,6.267319498093906e-4
2018-01-06T00:00:00Z,1752340.5953682305,44703.007354581954,1517126.337422623,44419.73436011087,-235214.25794560742,-283.2729944710809,6.482838335398195e-4
2018-01-06T01:00:00Z,1710723.944662952,44371.30214622973,1477870.9777542208,44437.55445712665,-232852.96690873126,66.25231089691806,6.417757807590935e-4
2018-01-06T02:00:00Z,1673814.9902347422,49346.95421382399,1448007.0419842761,49554.28845462193,-225807.94825046603,207.33424079793622,0.00062235871079475535
2018-01-06T03:00:00Z,1612544.0418723784,48557.76792565123,1395082.7364343866,48520.13128921536,-217461.30543799186,-37.63663643586915,5.993541801726806e-4
2018-01-06T04:00:00Z,1550642.8440164663,39704.43317049439,1329470.1814727518,39414.65325263163,-221172.6625437145,-289.77991786276107,6.095832063939121e-4
2018-01-06T05:00:00Z,1550156.4064569925,37693.350188603355,1328453.9104719462,37898.5401023745,-221702.49598504626,205.18991377114435,6.110435024554015e-4
2018-01-06T06:00:00Z,1594478.235332736,35989.64539465707,1369040.918189565,35759.68480661085,-225437.3171431711,-229.96058804621862,6.213371989307857e-4
2018-01-06T07:00:00Z,1691486.1970114093,37982.834337221015,1462120.2910515685,38381.53127958282,-229365.90595984086,398.6969423618066,6.321649465372309e-4
2018-01-06T08:00:00Z,1818675.9945248265,49308.65209658671,1587266.9498945496,48942.194001938144,-231409.04463027697,-366.45809464856575,6.3779612630198e-4
2018-01-06T09:00:00Z,1888335.9723749706,51516.64345338676,1650060.7909482894,51348.350752938786,-238275.1814266811,-168.29270044797158,6.567201725007908e-4
2018-01-06T10:00:00Z,1867731.759048067,47691.53374913632,1627160.1281056618,47969.48289719603,-240571.6309424052,277.9491480597135,6.630495128587573e-4
2018-01-06T11:00:00Z,1833931.6654122896,46247.29252543251,1599368.850297885,45742.932020267486,-234562.81511440454,-504.3605051650229,6.464883647632544e-4
2018-01-06T12:00:00Z,1833907.6967566095,54837.98419096231,1599822.9932475986,55108.46516558387,-234084.70350901084,270.4809746215615,6.451706214125253e-4
2018-01-06T13:00:00Z,1807523.505188032,50131.33425176431,1572614.784526928,49981.74895606737,-234908.72066110396,-149.58529569693928,6.474417294776879e-4
2018-01-06T14:00:00Z,1762974.1002341555,35969.75491292575,1529061.2141411188,36052.496359235636,-233912.88609303674,82.74144630988303,6.446970682611583e-4
2018-01-06T15:00:00Z,1728696.6518979017,25317.181897663228,1494203.9766390629,25298.104781355854,-234492.6752588388,-19.077116307373217,6.462950493798792e-4
2018-01-06T16:00:00Z,1709408.6962202513,21358.754206194993,1475796.553680583,21712.494223305315,-233612.14253966836,353.7400171103218,6.438681764014858e-4
2018-01-06T17:00:00Z,1720377.5099640507,16997.63668755643,1486353.611149971,16545.405511835954,-234023.89881407982,-452.23117572047704,6.450030350550001e-4
2018-01-06T18:00:00Z,1743288.7694755052,13816.860283702998,1504793.0764165716,14011.772216207766,-238495.6930589336,194.91193250476863,6.573279338140094e-4
2018-01-06T19:00:00Z,1805195.7702691068,15553.321521541377,1562164.702952359,15369.72276266075,-243031.06731674774,-183.59875888062743,6.698280681003989e-4
2018-01-06T20:00:00Z,1852967.8240544875,16911.715721861987,1607375.64280299,16675.10032580157,-245592.18125149747,-236.61539606041697,6.768868611100292e-4
2018-01-06T21:00:00Z,1905789.1905357752,24390.832622086695,1660028.9763928824,24690.89052121581,-245760.21414289274,300.05789912911496,6.773499835752485e-4
2018-01-06T22:00:00Z,1926689.101383272,30381.26896953504,1681615.1476977258,30244.03203982,-245073.9536855463,-137.23692971503988,6.754585524860743e-4
2018-01-06T23:00:00Z,1885494.0467163136,43849.417313293976,1644256.3394476606,44241.829159197936,-241237.70726865297,392.41184590396006,6.648853136217785e-4
2018-01-07T00:00:00Z,1815553.0048406227,47002.76111966668,1576430.8468127223,46752.76216526659,-239122.15802790038,-249.9989544000855,6.590545600619561e-4
2018-01-07T01:00:00Z,1782987.4231231553,47354.94834824034,1539073.8046741285,47255.7177665175,-243913.61844902672,-99.23058172284072,6.72260504111404e-4
2018-01-07T02:00:00Z,1703208.1311468175,47462.31258420276,1471737.5249166896,47542.3181649957,-231470.60623012786,80.00558079293842,6.37965798796746e-4
2018-01-07T03:00:00Z,1647561.743216665,51682.56999987411,1427365.9926181156,51535.12903120397,-220195.75059854938,-147.44096867014014,6.068906986081427e-4
2018-01-07T04:00:00Z,1602405.0482183646,47832.024140547175,1376043.0455692466,48147.83175197657,-226362.00264911796,315.80761142939446,6.238857632476332e-4
2018-01-07T05:00:00Z,1520049.5042089515,41342.772961278955,1306074.5028149341,40979.19861676986,-213975.00139401737,-363.57434450909204,5.897454320880478e-4
2018-01-07T06:00:00Z,1498154.5156983016,40514.54513275621,1291447.0630079089,40678.32735221678,-206707.45269039273,163.78221946056874,5.69715037777884e-4
2018-01-07T07:00:00Z,1621861.2890890467,40649.120139265564,1411718.7495873424,40654.00033180932,-210142.53950170428,4.880192543758312,5.791826239099036e-4
2018-01-07T08:00:00Z,1764467.2213321612,51304.3550777338,1542848.741792811,51320.10479003407,-221618.47953935014,15.749712300268584,6.10811941222796e-4
