time,baseline_electricity_kwh,baseline_gas_kwh,upgrade_electricity_kwh,upgrade_gas_kwh,incremental_electricity_kwh,incremental_gas_kwh,incremental_electric_unitized
2018-01-05T06:00:00Z,461201.592661211,5927696.666048259,1270886.4978645025,3266924.9639819567,809684.9052032914,-2660771.702066302,3.3745906891420705e-4
2018-01-05T07:00:00Z,511375.8103489414,6053641.865409433,1326423.8914867209,3384589.7336156783,815048.0811377794,-2669052.1317937546,3.3969432406796466e-4
2018-01-05T08:00:00Z,589292.3593265329,5986918.91170129,1391673.1320885844,3291585.759982484,802380.7727620514,-2695333.151718806,3.344148652776973e-4
2018-01-05T09:00:00Z,647100.2153956869,5769243.616845461,1425919.5473232754,3070699.742086736,778819.3319275884,-2698543.8747587246,3.2459496887703664e-4
2018-01-05T10:00:00Z,651928.0072527903,5470928.611935272,1410545.5469672466,2839057.040401462,758617.5397144563,-2631871.57153381,3.161753009953312e-4
2018-01-05T11:00:00Z,605397.7821332405,5365032.426620779,1358425.074438353,2761653.4895420885,753027.2923051126,-2603378.93707869,3.138454073865532e-4
2018-01-05T12:00:00Z,540191.1805083229,5361099.361142075,1297677.9042779915,2752675.857761689,757486.7237696686,-2608423.5033803857,3.15704001489327e-4
2018-01-05T13:00:00Z,456269.85252895043,5407229.23327722,1221500.470496166,2801183.123088742,765230.6179672156,-2606046.110188478,3.189314882670609e-4
2018-01-05T14:00:00Z,364329.87386745214,5342505.457838846,1137287.2295207821,2749952.8582069003,772957.35565333,-2592552.599631946,3.2215182458374917e-4
2018-01-05T15:00:00Z,319035.1698727661,5245389.25650674,1095947.3537131932,2667909.3533730903,776912.1838404271,-2577479.90313365,3.238001110086991e-4
2018-01-05T16:00:00Z,292637.3540156964,5204247.015093626,1075270.9821176084,2630366.180018672,782633.6281019121,-2573880.8350749547,3.2618468461371216e-4
2018-01-05T17:00:00Z,283263.0866286737,5447685.14215713,1080464.8636525103,2838242.787669769,797201.7770238366,-2609442.354487361,3.322563724263457e-4
